Event-Name,Event-Details
Film: RAIDERS! The Story of Greatest Fan Film Ever Made,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, January 31, 2019</span> </div>
<p> </p>
<p class=""x_MsoNormal""><i>It Came from Schenectady presents</i><br/>
<b>RAIDERS!  THE STORY OF THE GREATEST FAN FILM EVER MADE</b></p>
<p class=""x_MsoNormal"">In 1982, three 11-year-olds set out to create a shot-for-shot remake of their favorite film: <i>RAIDERS OF THE LOST ARK</i>. Seven years later, they managed to complete all but one scene – the exploding airplane climax – before their friendship crumbled.  Yet, some 30 years after shooting their very first frame of film, the three discuss reuniting to fully and finally achieve their childhood dream.  This is the story of the making of what became to be known as <i>The Greatest Fan Film Ever Made. </i>As with other ICFS events, expect prizes, surprises, comfy couches and DIY drink specials!<i> </i>Not rated.  96 minutes.</p>
<p class=""x_MsoNormal""><b>Thursday, January 31 at 7pm</b><br/>
$9 Adults; $6 Seniors, Students w/ID</p>
<p> </p>
</div>"
The Temptations and The Four Tops,"<div class=""content"">
<div class=""show-run"">
<span>Sunday, March 17, 2019</span> </div>
<p><strong>The Temptations and The Four Tops</strong><br/>
March 17, 2019</p>
<p>Two musical giants of Motown and inductees in The Rock and Roll Hall of Fame perform during one spectacular night.</p>
</div>"
Rochmon presents Bruce Springsteen,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, January 12, 2019</span> </div>
<p>A Rochmon Record Club Listening Party is a multi-media event meant to inform and deepen our understanding and history of the individual performers, songs and stories that went into the making of iconic albums. Each Rochmon Record Club Listening Party includes over 350 images and the playing of the entire, original, album. In addition to the music itself we check out the lyrics, talk about sales and awards and take a look at the album’s cover.<br/>
<strong>Chuck Vosganian AKA Rochmon</strong> is a lifelong musician and fan of all things creative. Chuck has been listening to music since before he was born and is a major fan of the pre-digital age of Rock &amp; Roll. Chuck is a professional audio engineer and lives in Saratoga Springs with his wife Karen.<br/>
Facebook – @RochmonRecordClub<br/>
Instagram – rochmon_</p>
</div>"
School of Rock,"<div class=""content""> <div class=""show-run""> <span>Tuesday, February 05, 2019</span> to <span>Sunday, February 10, 2019</span> </div> <img alt="""" class=""alignnone wp-image-2285 size-large"" height=""454"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/SchoolofROCK-1024x683.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/SchoolofROCK-1024x683.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/SchoolofROCK-300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/SchoolofROCK-768x512.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/SchoolofROCK.jpg 1200w"" width=""680""/> <p>Based on the hit Jack Black film, SCHOOL OF ROCK follow Dewey Finn, a wannabe rock star who turns a class of straight-A students into grade-A rockers. This hilarious new musical features brand new songs from ANDREW LLOYD WEBBER, all the original songs from the movie and musical theater’s first-ever live kids rock band!</p> <p>The Sunday 2 pm peformance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – February 7, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – February 7, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32865"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> </div>"
Roald Dahl's Charlie and the Chocolate Factory,"<div class=""content""> <div class=""show-run""> <span>Tuesday, February 26, 2019</span> to <span>Sunday, March 03, 2019</span> </div> <img alt="""" class=""wp-image-2338 size-large aligncenter"" height=""450"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-1024x678.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-1024x678.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb-768x508.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/CharlieandChocolateb.jpg 1200w"" width=""680""/> <p>Roald Dahl’s amazing tale is now Schenectady’s golden ticket! It’s the perfect recipe for a delectable treat: songs from the original film, including “Pure Imagination,” “The Candy Man,” and “I’ve Got a Golden Ticket,” alongside a toe-tapping and ear-tickling new score from the songwriters of Hairspray. Get ready for Oompa-Loompas, incredible inventions, the great glass elevator, and more, more, more at this everlasting showstopper!</p> <p>The Sunday 2 pm performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – February 28, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – February 28, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32866"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> <p>Looking for the study guide? <a href=""https://school.proctors.org/wp-content/uploads/sites/2/2018/10/CATCF_TOUR_Study_Guide.pdf"">Click here</a></p> </div>"
Film: Bolshoi Ballet: LA BAYADERE,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 12, 2019</span> </div>
<p> </p>
<p><em>Bolshoi Ballet presents</em><br/>
<strong>LA BAYADERE</strong></p>
<p>The temple dancer Nikiya and the warrior Solor fall deeply in love, igniting heated passions and murderous intrigues when the Rajah and his daughter Gamzatti discover their forbidden love.</p>
<p>La Bayadere is one of the greatest works in classical ballet history – a story of love, death and vengeful judgment, set in India. Dazzling sets and costumes, with one of the most iconic scenes in ballet, the “Kingdom of the Shades,” illuminate the tragic tale of the temple dancer Nikiya’s doomed love for the warrior Solor, and their ultimate redemption. A must-see theatrical event. 200 minutes.</p>
<div class=""video embed-wrapper""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""383"" src=""https://www.youtube.com/embed/QYANUX8iPAk?feature=oembed"" width=""680""></iframe></div>
<p><strong>Tuesday, February 12 at 2pm &amp; 7pm</strong><br/>
All Tickets: $15</p>
<p> </p>
</div>"
National Geographic Live! Steve Winter,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, November 14, 2018</span> </div>
<p>National Geographic Live On the Trail of Big Cats: Tigers, Cougars, and Snow Leopards<br/>
Steve Winter, Photographer<br/>
November 14th, 2018</p>
<p>Go around the world in search of big cats with award-winning photographer Steve Winter. A determined explorer, Winter will lead you from Asian jungles where resilient tiger populations persist, to the Himalaya, home of the rare snow leopard. Follow him into the rainforests of Latin America to view the elusive jaguar-and to Hollywood in pursuit of the American cougar. He’ll share both dangerous and lighter moments: from getting stuck in quicksand to mishaps with remote-controlled cameras. Co-author of the National Geographic book Tigers Forever, Winter’s mission is to share the beauty of big cats while working to save them.</p>
<img alt="""" class=""alignnone size-medium wp-image-1987"" height=""184"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png 300w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-768x471.png 768w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-1024x629.png 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag.png 1155w"" width=""300""/>
</div>"
Film: Bolshoi Ballet ENCORE: Golden Age,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, April 09, 2019</span> </div>
<p> </p>
<p><em>A Bolshoi Ballet ENCORE presentation</em><br/>
<strong>THE GOLDEN AGE</strong></p>
<p>In the 1920’s, The Golden Age cabaret is a favorite nightly haunt. The young fisherman Boris falls in love with Rita. He follows her to the cabaret and realizes that she is the beautiful dancer “Mademoiselle Margot,” but also the love interest of the local gangster Yashka.</p>
<p>With its jazzy score by Dmitri Shostakovich and its music-hall atmosphere featuring beautiful tangos, The Golden Age is a refreshing and colorful dive into the roaring 20’s. A historic ballet that can be seen only at the Bolshoi! 140 minutes.</p>
<div class=""video embed-wrapper""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""383"" src=""https://www.youtube.com/embed/QYANUX8iPAk?feature=oembed"" width=""680""></iframe></div>
<p><strong>Tuesday, April 9 at 2pm &amp; 7pm</strong><br/>
All Tickets: $15</p>
<p> </p>
</div>"
Lunch with Santa,"<div class=""content""> <div class=""show-run""> <span>Sunday, December 09, 2018</span> </div> <p><strong>Santa’s making his list and checking it twice…will YOU be on it?</strong></p> <p>Whether you’re attending<span class=""x_apple-converted-space""> </span><i>Dr. Seuss’ How The Grinch Stole Christmas! The Musical</i><span class=""x_apple-converted-space""> </span>or looking for a fun family afternoon,<span class=""x_apple-converted-space""> </span>Lunch<span class=""x_apple-converted-space""> </span>with<span class=""x_apple-converted-space""> </span>Santa<span class=""x_apple-converted-space""> </span>delights young and old.</p> <p>Having<span class=""x_apple-converted-space""> </span>lunch<span class=""x_apple-converted-space""> </span>with<span class=""x_apple-converted-space""> </span>jolly old St. Nick is sure to get you on the “nice” list.</p> <p>This annual holiday tradition is one of our most popular and seating is limited, so make sure to get your tickets today!</p> <p>General admission tickets only $15, get them before they sell out!</p> <p><strong>What’s on the menu?</strong></p> <ul> <li>Mac &amp; Cheese</li> <li>Spaghetti &amp; Meatballs</li> <li>Chicken Tenders with potato wedges</li> <li>Garden Salad</li> <li>Gluten Free Ziti option ( GF &amp; DF)</li> <li>Dinner Rolls</li> <li>Cookies</li> </ul> </div>"
Word Plays: Starting Over,"<div class=""content"">
<div class=""show-run"">
<span>Sunday, January 27, 2019</span> </div>
<p>January 27, 2019 – Word Plays: Starting Over<br/>
Sometimes you can’t continue on — you just have to start over. Come hear stories of how people dealt with, coped, and/or survived starting over.</p>
<p><a href=""http://www.storycircleatproctors.org/word-plays.shtml"">http://www.storycircleatproctors.org/word-plays.shtml</a> Click here to find out who are performers are.</p>
<p><a href=""http://www.storycircleatproctors.org/youtube.shtml"">http://www.storycircleatproctors.org/youtube.shtml</a> Click here to watch many of our performers tell stories.</p>
<p><a href=""http://www.storycircleatproctors.org/performers.shtml"">http://www.storycircleatproctors.org/performers.shtml</a> Click here to find out about our performers.</p>
</div>"
11th Annual Capital Region Wine Festival,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, March 09, 2019</span> </div>
<p>Join us for the 11th annual Capital Region Wine Festival — sample a wide variety of exceptional red, white and sparkling wines, along with restaurant food samples, enjoy vendors, participate in a live auction, and more.<span> </span></p>
<p>There are three levels of admission:<span> </span></p>
<p><i>Grand Tasting Affair</i>, $55: sample a wide variety of wines while enjoying restaurant samples and an assortment of vendors; participate in a wine lovers dream live auction. 1 – 4 p.m.<span> </span></p>
<p><i>VIP Club Vin</i>, $100 (limited to 100 patrons): enjoy the benefits of the Grand Tasting Affair from 1 – 3 p.m., enjoy a private one hour Club Grand Vin tasting from 3 – 4 p.m. of distinctive reserve wines (all valued at more than $100 a bottle), passed hors-d’oeuvres and live entertainment by the Schenectady Symphony Orchestra. <span> </span></p>
<p><i>Designated Drivers</i>, $25: choose from a variety of soft drinks, coffee, restaurant samples, and enjoy an assortment of vendors; participate in the excitement of our live auction. 1 – 4 p.m.<span> </span></p>
<p>Must be 21 years or older to attend. <span> </span></p>
<p>For more information, contact: Molly Tocin (518) 382-3884 ext. 187<span> </span></p>
</div>"
Mardi Gras 2019,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, February 20, 2019</span> </div>
<h1><strong>Featuring The Dirty Dozen Brass Band with special guest Cha Wa!</strong></h1>
<div><img alt="""" class=""aligncenter wp-image-5925 "" height=""351"" sizes=""(max-width: 435px) 100vw, 435px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Dirty_Dozen_Brass_Band-2017-promo-web-copy-1024x826.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Dirty_Dozen_Brass_Band-2017-promo-web-copy-1024x826.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Dirty_Dozen_Brass_Band-2017-promo-web-copy-300x242.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Dirty_Dozen_Brass_Band-2017-promo-web-copy-768x620.jpg 768w"" width=""435""/></div>
<div> </div>
<div><strong>Celebrate Mardi Gras with The Dirty Dozen Brass Band and Cha Wa!</strong></div>
<p>The Dirty Dozen Brass Band celebrating over 40 years since their founding in 1977, New Orleans-based Dirty Dozen Brass Band has taken the traditional foundation of brass band music and incorporated it into a blend of genres including Bebop Jazz, Funk and R&amp;B/Soul. This unique sound, described by the band as a ‘musical gumbo,’ has allowed the Dirty Dozen to tour across 5 continents and more than 30 countries, record 12 studio albums and collaborate with a range of artists from Modest Mouse to Widespread Panic to Norah Jones. Forty-plus years later, the Dirty Dozen Brass Band is a world famous music machine whose name is synonymous with genre bending romps and high-octane performances.</p>
<p>Roger Lewis – Baritone Sax/Vocals</p>
<p>Kevin Harris – Tenor Sax/Vocals</p>
<p>Gregory Davis – Trumpet/Vocals</p>
<p>Kirk Joseph – Sousaphone</p>
<p>TJ Norris – Trombone/Vocals</p>
<p>Julian Addison – Drums</p>
<p>Takeshi Shimmura – Guitar</p>
<p>The History of the Dirty Dozen Brass Band In 1977, The Dirty Dozen Social and Pleasure Club in New Orleans began showcasing a traditional Crescent City brass band. It was a joining of two proud, but antiquated, traditions at the time: social and pleasure clubs dated back over a century to a time when black southerners could rarely afford life insurance, and the clubs would provide proper funeral arrangements. Brass bands, early predecessors of jazz as we know it, would often follow the funeral procession playing somber dirges, then once the family of the deceased was out of earshot, burst into jubilant dance tunes as casual onlookers danced in the streets. By the late ’70s, few of either existed. The Dirty Dozen Social and Pleasure Club decided to assemble this group as a house band, and over the course of these early gigs, the seven-member ensemble adopted the venue’s name: The Dirty Dozen Brass Band.</p>
<div class=""wp-caption alignleft"" id=""attachment_5931"" style=""width: 310px""><img alt="""" class=""size-medium wp-image-5931"" height=""300"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-300x300.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-300x300.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-150x150.jpg 150w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-768x768.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-1024x1024.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/11/Cha-Wa-Promo-1-125x125.jpg 125w"" width=""300""/><p class=""wp-caption-text"">Cha Wa band portraits taken on February 19, 2018, in New Orleans, LA. © Erika Goldring.</p></div>
<p>New Orleans brass band-meets-Mardi Gras Indian outfit Cha Wa radiates the energy of the city’s street culture. Their album “Spyboy” (a nod to frontman J’Wan Boudreaux’s role in the Golden Eagles) is a modern mix of fiery, toe-tapping sounds. Popmatters describes the band as “a grand gumbo of singing, intoxicating rhythms, and deep funk grooves that are impossible to resist.”</p>
</div>"
Organ Concert Series,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, December 18, 2018</span> to <span>Tuesday, June 18, 2019</span> </div>
<p>Free monthly organ concert series featuring the Mighty Wurlitzer “Goldie”.</p>
<p>All concerts are on Tuesday at noon on the MainStage at Proctors. Unless otherwise noted below. </p>
<p class=""p1""><span class=""s1"">Artists and dates are subject to change.</span></p>
<h2>2018 – 2019 Season</h2>
<p><strong>Tue. October 16, </strong>AL MOSER &amp; ED GOODEMOTE</p>
<p><strong><em>*<u>Sat.,</u></em></strong><em><u> <strong>November 10, </strong></u></em>7:30pm: Albany Symphony Orchestra, Albany Pro Musica Chorus &amp; Goldie in Benjamin Britten’s “War Requiem” </p>
<p><strong>Tue. November 13, </strong>CARL HACKERT &amp; DEREK STANNARD</p>
<p><strong>Tue. December 18, </strong>GREG KLINGLER (Christmas favorites)</p>
<p><strong>Tue. January 15, </strong>BILL HUBERT &amp; Silent Film</p>
<p><strong>Tue. February 19,</strong> NIXON McMILLAN &amp; CLAUDIA BRACALIELLO</p>
<p><strong>Tue. March 26, </strong>PAMELA SHARPE &amp; HELEN MAKSYMICZ</p>
<p><strong>Tue. April 16, </strong>BEN REAVIS</p>
<p><strong>Tue. May 7</strong><strong>,</strong> BILL GAILLARD &amp; SANDY JOHNSON (debut)  </p>
<p><strong>Tue. June 18, </strong>MALCOM KOGUT</p>
</div>"
Angelo Michael Mazzone Fundraiser,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, December 06, 2018</span> </div>
<p>Join us for an inspiring event featuring Angelo Michael Mazzone, along with his pianist Mun Tzung Wong… Michael is an accomplished tenor who will share with you his amazing vocal talents and also his superb culinary talents in a benefit concert and dinner for the youth of “Ring of Hope” at the GE Theatre at Proctor’s. The performance will include selections of classical opera; a sing along with the boys as well as cooking special dishes with members of the audience, all of which will be served at this remarkable event.</p>
<p>What do boxing and opera have in common? If you ask a young athlete and a trained opera singer they would tell you, “hard work and determination”.</p>
<p>All proceeds from this event benefit The Ring of Hope Boxing Club in Schenectady, NY.</p>
</div>"
The Wizard of Oz,"<div class=""content""> <div class=""show-run""> <span>Saturday, December 22, 2018</span> to <span>Sunday, December 23, 2018</span> </div> <p>This beloved tale, in which a Kansas farm girl travels over the rainbow to discover the magical power of home, has been entertaining audiences for generations. THE WIZARD OF OZ includes the songs “Over The Rainbow,” “Munchkinland (Ding Dong! The Witch Is Dead),” “If I Only Had A Brain/A Heart/The Nerve,” “We’re Off To See The Wizard (Follow The Yellow Brick Road),” “The Jitterbug,” and “The Merry Old Land of Oz” and “If I Were King Of The Forest.” It’s a faithful adaptation of the film recreating the dialogue and structure of the MGM classic nearly scene for scene, though it is adapted for live stage performance.</p> </div>"
Two Left Feet,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, April 06, 2019</span> </div>
<p><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045"">Spring has sprung, time to dust off your dancing shoes! Don’t miss the 2</span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045"">nd</span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045""> installment of </span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045"">Two Left Feet</span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045"">. Community dance for everyone! In association with the </span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""SpellingError SCXW32378045"">DanceFlurry</span></span><span class=""TextRun SCXW32378045"" lang=""EN-US"" xml:lang=""EN-US""><span class=""NormalTextRun SCXW32378045""> Organization and Old Songs, Inc. </span></span><span class=""EOP SCXW32378045""> </span></p>
</div>"
Anastasia,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, October 09, 2018</span> to <span>Sunday, October 14, 2018</span> </div>
<img alt="""" class=""wp-image-2278 size-large aligncenter"" height=""453"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--1024x682.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--1024x682.jpg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA--768x511.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/01/ANASTASIA-.jpg 1200w"" width=""680""/>
<p>Inspired by the beloved films, the romantic and adventure-filled new musical ANASTASIA is on a journey to Schenectady at last!</p>
<p>From the Tony Award®-winning creators of the Broadway classic <em>Ragtime</em>, this dazzling show transports us from the twilight of the Russian Empire to the euphoria of Paris in the 1920s, as a brave young woman sets out to discover the mystery of her past. Pursued by a ruthless Soviet officer determined to silence her, Anya enlists the aid of a dashing conman and a lovable ex-aristocrat. Together, they embark on an epic adventure to help her find home, love, and family. </p>
<p>ANASTASIA features a book by celebrated playwright Terrence McNally, a lush new score by Stephen Flaherty (music) and Lynn Ahrens (lyrics) with direction by Tony Award® winner Darko Tresnjak.</p>
<h2>Special Events and Programs</h2>
<p><strong>Kids Night on Broadway- Wednesday, October 10, 2018, 6:00 P.M.</strong><br/>
Buy One Adult Ticket, get One Kids’ Ticket* FREE Use Code: KIDSNIGHT at Box Office or checkout – Please note, this promotional is no longer valid, but the event before the show is free to attend and open to all.<br/>
Come early for the Kids’ Night Fun Fair with free kids’ activities, prizes, a photo booth, face paint, crafts and more!<br/>
*No retroactive discounts, offer only valid for October 10, 2018 performance, quantities limited, other restrictions apply</p>
<p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks –  Thursday, October 11, 2018 4:00 P.M.</strong></a><br/>
Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p>
<p><strong>Teacher Appreciation Night – Friday October 12, 6:30 P.M.</strong><br/>
Join us for Teacher Appreciation Night on Friday October 12th.<br/>
Use Code JOURNEY to receive 10% Off*<br/>
Enjoy a pre-show party in the Guild Room at 6:30 pm with light fare and a cash bar.<br/>
*some restrictions apply</p>
<p><strong><a href=""http://school.proctors.org/broadway-master-classes/"">Broadway Masterclass- Saturday, October 13, 11:30 A.M. (SOLD OUT)</a></strong><br/>
From the stage to the classroom, don’t miss out on this exclusive opportunity to learn from a member of the cast of ANASTASIA in this vocal master class. Suitable for ages 12 and up. This Broadway Masterclass is sold out, <a href=""https://school.proctors.org/broadway-master-classes/"">click here</a> to see a list of all master classes. </p>
<p><strong><a href=""//www.proctors.org/event/anastasia-tea-party/"">Anastasia American Girl Tea Party – Saturday, October 13, 5:00 P.M.</a></strong><br/>
Join Proctors for a special American Girl Tea Party in honor of Anastasia at Proctors!<br/>
Bring your American girl doll and enjoy sweet treats, tea sandwiches and tea. Each ticket includes an entry to win the American Girl Doll Rebecca who shares Russian heritage with Anastasia. Additional raffle tickets can be purchased at the event and proceeds will benefit the School of the Performing Arts.</p>
<h2>Accessibility</h2>
<div><span style=""font-size: medium"">At Proctors, we aim to make theatre accessible for all. For Anastasia, we are proud to offer four options for hearing impaired individuals.</span></div>
<div> </div>
<div><span style=""font-size: medium""><b>Sunday, October 14, 2 pm</b></span></div>
<div><span style=""font-size: medium""><b>Interpreted Performance</b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">This performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204</span></div>
<div><span style=""font-size: medium""> </span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">For all performances:</span></div>
<div> </div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><b>Gala Pro</b></span></div>
<div>Proctors is excited to be the first theatre outside of New York City to offer the GalaPro app. The GalaPro app delivers automated multilingual subtitles, closed captioning, dubbing, audio descriptions, and amplification to the user’s mobile device.<strong>Galapro will only be available for Friday, Saturday, and Sunday performances.</strong> </div>
<div>For instructions on how to download and use the GalaPro app, <a href=""https://www.proctors.org/wp-content/uploads/sites/4/2018/05/GalaPro-Anastasia-Instructions-.pdf"">click here</a></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><br/>
</span><span style=""font-family: Helvetica Neue;font-size: medium""><b>Hearing Loop</b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">Proctors now offers a hearing loop system in our theatre. Simply turn your hearing device onto the t-coil setting to amplify the sound. </span></div>
<div><span style=""font-size: medium""> </span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium""><b>Sound Receivers </b></span></div>
<div><span style=""font-family: Helvetica Neue;font-size: medium"">FM wireless sound receivers are available at the Box Office before the show. These headsets are standard walkman headsets; patrons are welcomed to bring their own in lieu of borrowing one. They can be reserved by contacting the Box Office at 518.346.6204.</span></div>
<div> </div>
<div>Looking for the study guide? <a href=""https://school.proctors.org/wp-content/uploads/sites/2/2018/10/Anastasia-StudyGui-Reduced.pdf"">Click here</a></div>
<div> </div>
<div> </div>
</div>"
John McCutcheon,"<div class=""content""> <div class=""show-run""> <span>Friday, March 08, 2019</span> </div> <p>FRIDAY, MARCH 8, 2019 – 7:30 pm GE Theatre<br/> JOHN McCUTCHEON<br/> CD Release: Pete Seeger Tribute Album</p> <p>“Uncanny ability to breathe new life into the familiar. His storytelling has the richness of fine literature” WASHINGTON POST</p> <p>“The most impressive instrumentalist I’ve ever heard”- JOHNNY CASH</p> <p>Singer-songwriter, storyteller and master instrumentalist McCutcheon celebrates folk legend Pete Seeger’s 100th birthday with a blockbuster album of Seeger songs!</p> <p>Pete Seeger introduced America to itself, one song at a time. Whether it was “Erie Canal” or “If I Had a Hammer,” he told us who we are and helped us imagine who we might become. John McCutcheon’s stunning new collection celebrates Pete’s 100th birthday (May 2019) with a recording of some songs that moved him the most during his long years as Seeger student, admirer, colleague and friend. From “Sailing Down My Golden River” to Turn, Turn, Turn,” it’s a big and loving tribute to an amazing man, musician, American.</p> <p>One of America’s most respected and loved folksingers, McCutcheon is a master of a dozen different traditional instruments, most uniquely the rare and beautiful hammer dulcimer. Hailed by critics and singers around the globe, his 30 recordings have garnered every imaginable honor, including seven Grammy nominations.</p> <p>Whether in print, on record, or on stage, few people communicate with the versatility, charm, wit or pure talent of John McCutcheon. But in live performance McCutcheon feels most at home. He has brought his music into the lives and homes of one of the broadest audiences any folk musician has ever enjoyed, certainly echoing Seeger himself. People of every generation and background seem to feel at home in a concert hall when John McCutcheon takes the stage, with what critics describe as “little feats of magic,” “breathtaking in their ease and grace…” and “like a conversation with an illuminating old friend.”</p> </div>"
